sample,Site,Sampling_location,Sites,Latitude,Longitude,BD,GWC,pH.H2O.,pH,soilpH,Total.C,Total.N,CN,KCl_NH4.N,KCl_NO3.N,WSOC,Na,NH4,K,Mg,Ca,Cl,NO3,SO4,Al,Fe,Mn,Cu,GMIN,GNIT,GNH4C,GNO3C,Branch_stock,Branch_C,Branch_N,Branch_CN,Leaf_stock,Leaf_C,Leaf_N,Leaf_CN,FH_stock,FH_C,FH_N,FH_CN,Soil.DNA,Bacterial.16S,Fungal.18S,F.B,AOA.amoA,AOB.amoA,AOA.AOB,Map_No,Site.y,N_degree,N_minute,N_second,E_degree,E_minute,E_second,Altitude,Slope_aspect,FSD,WRB,USDA,Forest_type,Dominant_tree_species,Understory,MAT,MAP,Sampling_date_1,Sampling_date_2,Sampling_date_3,Dominant_tree_type
S9,URN,5,URN5,44.35583333,142.2580556,0.54,0.38,5.12,5<pH¡Ü6,5-6,7.83,0.47,16.79,20.131,0.673,104.881,0.445,0.078,0.18,0.151,0.993,0.145,0.033,0.377,13.539,3.428,0,0,2.377,0.067,1.364,NA,0.65,46.3,0.66,70.52,1.18,45.12,1.43,31.45,8.18,45.53,1.44,31.63,44.1,69282186519,1188220328,0.017,11746101,875227,13.4,1,"Uryu, natural forest",44,21,21,142,15,29,300,N,BD,Cambisols,Inceptisols,Cool temperate mixed forest,Abies sachalinensis,"Sasa senanensis, Viburnum furcatum",4.4,1150,2010/8/3,2012/11/2,2010/11/1,Conifer
S90,OYC,5,OYC5,36.56222222,139.3536111,0.43,0.46,5.24,5<pH¡Ü6,5-6,7.71,0.56,13.86,2.653,1.297,33.744,0.252,0.009,0.138,0.047,0.595,0.145,0.242,0.697,0.373,0.04,0.053,0,10.946,0.686,16.31,NA,0.43,42.99,0.62,69.06,0.01,29.9,1.19,25.04,1.33,26.08,0.74,35.04,57.1,1.30E+11,472674335,0.004,799382913,1974931,404.8,11,"Oyasan, young-aged artificial forest",36,33,44,139,21,13,770,SE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 2001),Cryptomeria japonica,"Hydrangea serrata, Rubus phoenicolasius, Rubus crataegifolius",9.8,1690,2013/11/18,2013/11/18,2013/11/18,Conifer
S91,SDP,1,SDP1,36.5225,138.35,0.23,0.54,5.42,5<pH¡Ü6,5-6,16.95,0.83,20.45,2.426,0.439,28.535,0.658,0,0.144,0.12,0.243,0.335,0,0.345,1.637,0.184,0.253,0.084,2.301,0.2,5.118,0.313,1.11,49.66,0.4,124.46,3.08,49.76,0.36,138.68,10.22,43.33,1.52,28.57,109.8,2.95E+11,8634025758,0.029,103427403,NA,NA,12,"Sugadaira, pine forest",36,31,21,138,21,0,1330,flat,BD,Andosols,Andisols,Secondary coniferous forest,Pinus densiflora,Pyrola asarifolia subsp. Incarnata,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S92,SDP,2,SDP2,36.5225,138.35,0.27,0.54,5.43,5<pH¡Ü6,5-6,15.47,0.81,19.15,2.426,0.439,27.755,0.598,0.003,0.109,0.067,0.204,0.374,0,0.275,0.728,0.072,0.145,0.15,3.607,0.099,6.185,1.402,1.1,48.38,0.31,158.05,1.97,47.85,0.68,70.09,8.42,46.44,1.53,30.3,121.8,3.04E+11,8194369753,0.027,1168373,NA,NA,12,"Sugadaira, pine forest",36,31,21,138,21,0,1330,flat,BD,Andosols,Andisols,Secondary coniferous forest,Pinus densiflora,Pyrola asarifolia subsp. Incarnata,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S93,SDP,3,SDP3,36.5225,138.35,0.12,0.55,4.88,4<pH¡Ü5,4-5,21.71,1.01,21.43,2.426,0.439,313.173,1.381,0,0.501,0.256,0.612,0.495,0,0.488,7.006,0.762,0.755,0.116,4.298,0.115,6.22,1.142,0.73,50.43,0.51,98.58,2.71,49.7,0.69,71.88,24.98,48.97,1.2,40.89,79.4,1.77E+11,4203274319,0.024,4239544,NA,NA,12,"Sugadaira, pine forest",36,31,21,138,21,0,1330,flat,BD,Andosols,Andisols,Secondary coniferous forest,Pinus densiflora,Pyrola asarifolia subsp. Incarnata,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S94,SDP,4,SDP4,36.5225,138.35,0.3,0.51,4.89,4<pH¡Ü5,4-5,22.34,0.97,23.02,2.426,0.439,152.395,0.803,0,0.437,0.13,0.335,0.506,0,0.52,3.556,0.624,0.643,0.101,4.023,0.084,6.495,0.574,2.53,49.58,0.36,139.56,3.14,47.94,0.62,77.25,17.95,48.94,1.28,38.2,122.5,2.27E+11,14277694897,0.063,19699791,NA,NA,12,"Sugadaira, pine forest",36,31,21,138,21,0,1330,flat,BD,Andosols,Andisols,Secondary coniferous forest,Pinus densiflora,Pyrola asarifolia subsp. Incarnata,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S95,SDP,5,SDP5,36.5225,138.35,0.28,0.58,4.91,4<pH¡Ü5,4-5,21.32,0.98,21.76,2.426,0.439,200.247,1.451,0,0.279,0.167,0.622,0.634,0.112,0.502,6.342,0.634,0.528,0.051,6.78,NA,9.714,NA,1,49.27,0.31,160.67,2.63,49.11,0.53,92.69,30.54,39.16,1.13,34.68,137.1,3.46E+11,13202412362,0.038,4916670,913444,5.4,12,"Sugadaira, pine forest",36,31,21,138,21,0,1330,flat,BD,Andosols,Andisols,Secondary coniferous forest,Pinus densiflora,Pyrola asarifolia subsp. Incarnata,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S96,SDB,2,SDB2,36.51916667,138.3519444,NA,0.53,5.42,5<pH¡Ü6,5-6,14.92,0.72,20.83,NA,NA,63.326,0.665,0.002,0.185,0.16,0.363,0.197,0,0.485,3.847,0.217,0.087,0.181,3.089,0.11,4.858,1.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.5,3.71E+11,7871530878,0.021,1465956,NA,NA,12,"Sugadaira, broadleaved forest",36,31,9,138,21,7,1300,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa senanensis,6.6,1220,2012/11/20,NA,2012/11/20,Broadleaf
S97,SDB,3,SDB3,36.51916667,138.3519444,NA,0.55,4.92,4<pH¡Ü5,4-5,17.68,0.87,20.38,NA,NA,35.774,0.774,0.146,0.398,0.238,0.358,0.449,0.523,0.466,2.975,0.21,0.207,0.108,7.216,0.673,7.888,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.1,4.14E+11,43410984684,0.105,73975189,NA,NA,12,"Sugadaira, broadleaved forest",36,31,9,138,21,7,1300,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa senanensis,6.6,1220,2012/11/20,NA,2012/11/20,Broadleaf
S98,SDB,4,SDB4,36.51916667,138.3519444,NA,0.57,5.14,5<pH¡Ü6,5-6,18.15,0.93,19.55,NA,NA,78.352,1.083,0.006,0.159,0.205,0.304,0.393,0.184,0.462,3.785,0.356,0.076,0.211,6.48,0.542,10.042,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,3.44E+11,23318054006,0.068,48944890,NA,NA,12,"Sugadaira, broadleaved forest",36,31,9,138,21,7,1300,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa senanensis,6.6,1220,2012/11/20,NA,2012/11/20,Broadleaf
S99,SDB,5,SDB5,36.51916667,138.3519444,NA,0.54,5.18,5<pH¡Ü6,5-6,21.4,1.11,19.37,NA,NA,139.182,0.68,0.319,0.462,0.095,0.266,0.331,0.11,0.514,4.878,0.966,0.087,0.152,10.984,0.042,12.109,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.8,2.20E+11,24011515736,0.109,4752652,NA,NA,12,"Sugadaira, broadleaved forest",36,31,9,138,21,7,1300,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa senanensis,6.6,1220,2012/11/20,NA,2012/11/20,Broadleaf
